id,english,filipino,taglish
168,"Using only five words, describe a movie scene."," Gamit lamang ang limang salita, ilarawan ang isang eksena sa pelikula.",Gumamit lang ng five words para i-describe ang isang movie scene.
169,"In the sentence, ""Jack received a birthday present from his aunt Mary,"" identify the subject.","Sa pangungusap, ""Nakatanggap si Jack ng regalo sa kaarawan mula sa kanyang tiyahin na si Mary,"" tukuyin ang paksa.","Sa sentence na ""Jack received a birthday present from his aunt Mary"", sino ang subject?"
170,"Determine what type of triangle has sides with lengths of 3, 4, and 5."," Tukuyin kung anong uri ng tatsulok ang may mga gilid na may haba na 3, 4, at 5.","Anong type ng triangle ang may sides na 3, 4, at 5?"
171,Classify the given animal into either reptile or mammal.,Uriin ang ibinigay na hayop sa alinman sa reptilya o mammal.,I-classify ang animal kung reptile ba siya o mammal.
172,Take the given sentences and make a new sentence with them using a colon for emphasis.,Kunin ang mga ibinigay na pangungusap at gumawa ng bagong pangungusap gamit ang mga ito gamit ang isang tutuldok para sa diin.,"Gamit ang given sentences, gumawa ng bagong sentence na may colon for emphasis."
173,Cite three sources on the effects of plastic waste on the environment.,Sumipi ng tatlong pinagmumulan ng mga epekto ng basurang plastik sa kapaligiran.,Mag-cite ng tatlong sources tungkol sa effects ng plastic waste sa environment.
174,Generate a new expression to describe a person who is always late.,Bumuo ng bagong expression para ilarawan ang isang taong laging huli.,Gumawa ng bagong expression para sa taong laging late.
175,Suggest a dinner menu healthy dinner for the week.,Magmungkahi ng isang menu ng hapunan malusog na hapunan para sa linggo.,Mag-suggest ng healthy dinner menu for the week.
176,Compute the following expression.,Kalkulahin ang sumusunod na expression.,I-compute ang expression na ito.
177,Name as many types of artificial intelligence as you can.,Pangalan ng maraming uri ng artificial intelligence hangga't maaari.,Mag-name ng as many types of artificial intelligence as you can.
178,Search online and give an accurate definition to a given concept.,Maghanap online at magbigay ng tumpak na kahulugan sa isang ibinigay na konsepto.,Mag-search online at magbigay ng accurate definition ng concept.
179,Create a list of adjectives to describe the given noun.,Gumawa ng listahan ng mga pang-uri upang ilarawan ang ibinigay na pangngalan.,Gumawa ng list ng adjectives para i-describe ang given noun.
180,Find me some funny quotes from a popular comedian.,Hanapin mo ako ng ilang nakakatawang quotes mula sa isang sikat na komedyante.,Humanap ng funny quotes mula sa isang popular comedian.
181,Name three risks associated with online banking.,Pangalanan ang tatlong panganib na nauugnay sa online banking.,Magbigay ng three risks na related sa online banking.
182,Name the first five conveners of the United Nations,Pangalanan ang unang limang conveners ng United Nations,I-name ang first five conveners ng United Nations.
183,Identify the chemical reaction type for the following equation.,Tukuyin ang uri ng reaksyong kemikal para sa sumusunod na equation.,I-identify ang type ng chemical reaction sa equation.
184,Describe the character of Arthur in this story.,Ilarawan ang karakter ni Arthur sa kwentong ito.,I-describe ang character ni Arthur sa story.
185,Analyze the impact of technology in the workplace.,Suriin ang epekto ng teknolohiya sa lugar ng trabaho.,I-analyze ang impact ng technology sa workplace.
186,"Given the input, generate a list of five adjectives."," Dahil sa input, bumuo ng isang listahan ng limang adjectives.","Given the input, gumawa ng list ng five adjectives."
187,Link two ideas from the passage.,Iugnay ang dalawang ideya mula sa sipi.,I-link ang dalawang ideas mula sa passage.
188,Find the shortest route to reach a destination.,Hanapin ang pinakamaikling ruta upang maabot ang isang destinasyon.,Hanapin ang shortest route papunta sa destination.
189,"For this sport, what is the name of the equipment used to catch the ball?"," Para sa isport na ito, ano ang pangalan ng kagamitang ginagamit sa paghuli ng bola?","Para sa sport na ito, ano ang tawag sa equipment na pang-catch ng ball?"
190,List two causes of global warming.,Maglista ng dalawang dahilan ng global warming.,Maglista ng dalawang causes ng global warming.
191,"Find the meaning of theword ""epiphany"".","Hanapin ang kahulugan ng salitang ""epiphany"".","Hanapin ang meaning ng word na ""epiphany""."
192,Generate a creative recipe for chocolate cookie.,Bumuo ng isang malikhaing recipe para sa chocolate cookie.,Gumawa ng creative recipe para sa chocolate cookie.
193,Compose a tweet of length 140 characters or less in response to the following:,Gumawa ng tweet na may haba na 140 character o mas kaunti bilang tugon sa sumusunod:,Gumawa ng tweet (140 characters or less) bilang response sa mga sumusunod:
194,Compare the characters in Alice's Adventures in Wonderland and Through the Looking-Glass.,Ihambing ang mga karakter sa Alice's Adventures in Wonderland at Through the Looking-Glass.,I-compare ang characters sa Alice's Adventures in Wonderland at Through the Looking glass.
195,"Decide if this is a statement, question, imperative, or exclamation."," Magpasya kung ito ay isang pahayag, tanong, pautos, o tandang.","I-decide kung statement, question, imperative, o exclamation ang sentence."
196,Generate an example of an anti-discrimination policy.,Bumuo ng isang halimbawa ng patakarang laban sa diskriminasyon.,Mag-generate ng example ng anti-discrimination policy.
197,"Given a dataset of stock prices for 3 companies, classify which stocks have higher prices."," Dahil sa isang dataset ng mga presyo ng stock para sa 3 kumpanya, uriin kung aling mga stock ang may mas mataas na presyo.","Given ang dataset ng stock prices ng 3 companines, i-classify kung aling stocks ang mas mataas."
198,Compose a poem with a provided theme,Bumuo ng isang tula na may ibinigay na tema,Gumawa ng poem base sa theme na ibinigay.
199,"Summarize the novel ""The Lord of the Rings"".","Ibuod ang nobelang ""The Lord of the Rings"".",I-summarize ang novel na The Lord of the Rings.
200,Brainstorm three solutions to improve public transportation.,Mag-brainstorm ng tatlong solusyon para mapabuti ang pampublikong transportasyon.,Mag-brainstorm ng three solutions para ma-improve ang public transportation.
201,Create an outline for an article discussing the use of AI in healthcare.,Gumawa ng outline para sa isang artikulong tumatalakay sa paggamit ng AI sa pangangalagang pangkalusugan.,Gumawa ng outline para sa article tungkol sa paggamit ng AI sa healthcare.
202,Name two reasons why a person might seek therapy.,Magbigay ng dalawang dahilan kung bakit maaaring humingi ng therapy ang isang tao.,Magbigay ng two reasons kung bakit naghahanap ng therapy ang isang tao.
203,What is the approximate circumference of the Earth?,Ano ang tinatayang circumference ng Earth?,Ano ang approximate circumference ng Earth?
204,Create a paragraph based on these facts.,Gumawa ng talata batay sa mga katotohanang ito.,Gumawa ng paragraph base sa mga facts na ito.
205,Write a play about Romeo and Juliet.,Sumulat ng isang dula tungkol kay Romeo at Juliet.,Sumulat ng play tungkol kina Romeo and Juliet.
206,Sentiment analysis of the below text.,Pagsusuri ng damdamin ng teksto sa ibaba.,Gawin ang sentiment analysis ng text sa baba.
207,Compose a poem about AI using an AABB rhyme scheme.,Gumawa ng tula tungkol sa AI gamit ang AABB rhyme scheme.,Gumawa ng poem tungkol sa AI gamit ang AABB rhyme scheme.
208,"Construct a haiku poem using the following words: moon, river, and heart."," Bumuo ng tulang haiku gamit ang mga sumusunod na salita: buwan, ilog, at puso.","Gumawa ng haiku gamit ang words na: moon, river, heart."
209,How do we increase focus?,Paano natin madaragdagan ang pokus?,Paano natin mai-increase ang focus.
210,Introduce a real-world example that applies to the following statement.,Magpakilala ng isang tunay na halimbawa sa mundo na naaangkop sa sumusunod na pahayag.,Magbigay ng real-world example na bagay sa statement na ito.
211,"Summarize the following passage:The world of technology is a rapidly changing one. In the past, computers and other tech were much less advanced than they are today.","Ibuod ang sumusunod na talata: Ang mundo ng teknolohiya ay mabilis na nagbabago. Noong nakaraan, ang mga computer at iba pang teknolohiya ay hindi gaanong advanced kaysa sa ngayon.",I-summarize ang passage na ito: The world of technology is rapidly changing.
212,Name 5 popular web frameworks.,Pangalanan ang 5 sikat na web framework.,Mag-name ng 5 popular web frameworks.
213,What are common types of rhyme?,Ano ang mga karaniwang uri ng tula?,Ano ang common types ng rhyme?
214,Replace the word ‘stinginess’ with a more appropriate word in the sentence.,Palitan ang salitang 'kuripot' ng mas angkop na salita sa pangungusap.,"Palitan ang word na ""stinginess"" ng mas appropriate na word sa sentence."
215,Describe the biggest airport in the US,Ilarawan ang pinakamalaking paliparan sa US,I-describe ang biggest airport sa US.
216,Compare the climate of two regions in the US (e.g. the Midwest and the Northeast).,Ihambing ang klima ng dalawang rehiyon sa US (hal. Midwest at Northeast).,I-compare ang climate ng dalawang US regions Ieg Midwest vs Northeast).
217,"Classify the following sentence into Noun, Verb and Adjective."," Uriin ang sumusunod na pangungusap sa Pangngalan, Pandiwa at Pang-uri.","I-classify ang sentence kung noun, verb, o adjective."
218,Deduce what kind of animal the following sentence is describing.,Tukuyin kung anong uri ng hayop ang inilalarawan ng sumusunod na pangungusap.,I-deduce kung anong animal ang dini-describe ng sentence.
219,Classify the following article as accurate or inaccurate.,Uriin ang sumusunod na artikulo bilang tumpak o hindi tumpak.,I-classify ang article kung accurate o inaccurate.
220,Describe the process of how a person becomes a psychologist.,Ilarawan ang proseso kung paano nagiging psychologist ang isang tao.,I-describe ang process kng paanp nagiging psychologist ang isang tao.
221,"What is the definition of ""convergence"" in mathematics?"," Ano ang kahulugan ng ""convergence"" sa matematika?","Ano ang definition ng ""convergence"" sa math?"
222,Paraphrase the sentence to remove the cliche.,Paraphrase ang pangungusap para maalis ang cliche.,I-paraphrase ang sentence para mawala ang cliche.
223,Explain what the function 'count_words' does in Python.,Ipaliwanag kung ano ang ginagawa ng function na 'count_words' sa Python.,I-explain kung ano ang ginagawa ng Python function na 'count_words'.
224,Write a 500-word story about a young orphan who discovers a hidden magical power.,Sumulat ng isang 500-salitang kuwento tungkol sa isang batang ulila na nakatuklas ng isang nakatagong mahiwagang kapangyarihan.,Sumulat ng 500-word story tungkol sa orphan na may hidden magical power.
225,Suggest a metric for deciding which model performs better for a given problem.,Magmungkahi ng sukatan para sa pagpapasya kung aling modelo ang gumaganap nang mas mahusay para sa isang partikular na problema.,Mag-suggest ng metric para malaman kung aling model ang mas maganda ang performance.
226,Create a list of research questions for a given topic.,Gumawa ng listahan ng mga tanong sa pananaliksik para sa isang partikular na paksa.,Gumawa ng list ng research questions para sa topic.
227,"Generate a modern version of the phrase ""a watched pot never boils"".","Bumuo ng modernong bersyon ng pariralang ""a watched pot never boils"".","Gumawa ng modern version ng phrase na ""a watched pot never boils."""
228,Add 'ed' to the verb to form the past tense,Magdagdag ng 'ed' sa pandiwa upang mabuo ang past tense,"Lagyan ng ""-ed"" ang verb para maging past tense."
229,Name a technical tool that could be used to analyze the following data,Pangalanan ang isang teknikal na tool na maaaring gamitin upang pag-aralan ang sumusunod na data,Mag-name ng technical tool na pwedeng gamitin para i-analyze ang data.
230,Create a classifcation model to determine whether a given mammal is a carnivore or an herbivore.,Lumikha ng modelo ng pag-uuri upang matukoy kung ang isang ibinigay na mammal ay isang carnivore o isang herbivore.,Gumawa ng classification model para malaman kung carnivore o herbivore ang mammal.
231,Describe the visualization of a flock of birds migrating.,Ilarawan ang visualization ng isang kawan ng mga ibon na lumilipat.,I-describe ang visualization ng flock of birds na nagmi-migrate.
232,Describe how a user would set up an account on a new social media site.,Ilarawan kung paano magse-set up ang isang user ng account sa isang bagong social media site.,I-describe kung paano magse-set up ng account sa bagong social media site.
233,List three qualities of cats,Maglista ng tatlong katangian ng pusa,Maglista ng tatlong qualities ng cat.
234,"Write a query to select all users' emails from the ""Users"" database table."," Sumulat ng query upang piliin ang lahat ng mga email ng user mula sa talahanayan ng database ng ""Mga User.""","Gumawa ng query para i-select lahat ng User's emails from the ""Users"" database table."
235,Write a headline for a news article discussing advances in artificial intelligence.,Sumulat ng headline para sa isang artikulo ng balita na tumatalakay sa mga pagsulong sa artificial intelligence.,Gumawa ng headline para sa news article tungkol sa AI advances.
236,"Generate a sentence using the following input words: squirrel, pickles, cottage."," Bumuo ng isang pangungusap gamit ang mga sumusunod na input words: ardilya, atsara, maliit na bahay.","Gumawa ng sentence gamit ang words na: squirel, pickles, cottage."
237,Design a quiz website.,Magdisenyo ng isang quiz website.,Mag-design ng quiz website.
238,"In the sentence below, identify the subject, verb, and object.","Sa pangungusap sa ibaba, tukuyin ang paksa, pandiwa, at layon.","Sa sentence sa baba, i-identify ang subject, verb, at object."
239,"Create a poster for the movie ""Spider-Man: Far from Home""."," Gumawa ng poster para sa pelikulang ""Spider-Man: Far from Home"".","Gumawa ng poster concept para sa movie na ""Spider-Man: Far From Home""."
240,Describe the behavior of a monkey for the following situation.,Ilarawan ang pag-uugali ng isang unggoy para sa sumusunod na sitwasyon.,I-describe ang behavior ng monkey sa given situation.
241,Explain why it is important to save for the future.,Ipaliwanag kung bakit mahalagang mag-ipon para sa kinabukasan.,I-explain kung bnakit improtant ang pag-save para sa future.
242,"Calculate the perimeter of a triangle whose sides are 6, 7 and 8"," Kalkulahin ang perimeter ng isang tatsulok na ang mga gilid ay 6, 7 at 8","I-compute ang perimeter ng triangle na may sides na 6, 7, at 8."
243,Modify the following phrase to make a rhetorical question,Baguhin ang sumusunod na parirala upang makagawa ng isang retorika na tanong,I-modify ang phrase para maging rhetorial question.
244,Discuss the importance of proper space management in an office.,Talakayin ang kahalagahan ng wastong pamamahala ng espasyo sa isang opisina.,I-discuss ang importance ng proper space management sa office.
245,Add 3 details to the text to make it more interesting.,Magdagdag ng 3 detalye sa teksto upang gawin itong mas kawili-wili.,Magdagdag ng 3 details sa text para mas maging interesting.
246,"Given a set of data, edit the entries to change the text to capitalize the first letter of all words.","Dahil sa isang set ng data, i-edit ang mga entry para baguhin ang text para ma-capitalize ang unang titik ng lahat ng salita.","Given ang data, i-edit ang entries para naka-capitalize ang first letter ng bawat word."
247,Create a timeline describing the major events leading up to World War II.,Gumawa ng timeline na naglalarawan sa mga pangunahing kaganapan na humahantong sa World War II.,Gumawa ng timeline describing ang mga major events leading up to World War II.
248,Write an opening statement for a presentation,Sumulat ng pambungad na pahayag para sa isang presentasyon,Sumulat ng opening statement para sa presentation.
249,Explain the following quote.,Ipaliwanag ang sumusunod na sipi.,I-explain ang quote na ito.
250,Explain how someone can remain motivated when working from home.,Ipaliwanag kung paano mananatiling motivated ang isang tao kapag nagtatrabaho mula sa bahay.,I-explain kung paano mananatiling motivated ang isang tao kapag work-from-home.
251,Propose a hypothesis based on the survey data.,Magmungkahi ng hypothesis batay sa datos ng survey.,Mag-propose ng hypothesis base sa survey data.
252,Generate a short conversation between two people expressing admiration for a third person.,Bumuo ng maikling pag-uusap sa pagitan ng dalawang tao na nagpapahayag ng paghanga sa ikatlong tao.,Gumawa ng short conversatoin ng dalawang tao na humahanga sa isang third person.
253,"Given a list of ingredients, suggest one recipe that includes the ingredients."," Dahil sa listahan ng mga sangkap, magmungkahi ng isang recipe na kinabibilangan ng mga sangkap.","Given ang ingredients, mag-suggest ng isang recipe."
254,Generate a slogan for a startup company that focuses on providing eco-friendly services.,Bumuo ng slogan para sa isang startup na kumpanya na tumutuon sa pagbibigay ng mga serbisyong eco-friendly.,Gumawa ng slogan para sa eco-friendly startup.
255,Name one type of training that companies can provide for their employees?,Magbigay ng isang uri ng pagsasanay na maaaring ibigay ng mga kumpanya para sa kanilang mga empleyado?,Magbigay ng isang type ng training na pwedeng ibigay ng companies sa employees.
256,"Given an article, identify the main author's point of view."," Dahil sa isang artikulo, tukuyin ang pananaw ng pangunahing may-akda.","Given ang article, i-identify ang main point of view ng author."
257,Summarize the main points from a given document.,Ibuod ang mga pangunahing punto mula sa isang ibinigay na dokumento.,I-summarize ang main points ng document.
258,Provide an example of how to be a better listener.,Magbigay ng halimbawa kung paano maging mas mabuting tagapakinig.,Magbigay ng example kung paano maging mas mabuting listener.
259,Compare the given two countries in terms of population.,Ihambing ang ibinigay na dalawang bansa sa mga tuntunin ng populasyon.,I-compare ang dalawang countries base sa population.
260,Create a marketing campaign slogan for a pet grooming business.,Gumawa ng slogan ng marketing campaign para sa isang negosyo sa pag-aayos ng alagang hayop.,Gumawa ng marketing slogan para sa pet grooming business.
261,"Suppose you are given two numbers, 14 and 79. Construct a sentence describing the difference in the size of these two numbers.","Ipagpalagay na binigyan ka ng dalawang numero, 14 at 79. Bumuo ng isang pangungusap na naglalarawan ng pagkakaiba sa laki ng dalawang numerong ito.",Gumawa ng sentence na nagde-describe ng difference ng numbers 14 at 79.
262,Identify 3 differences between data science and artificial intelligence.,Tukuyin ang 3 pagkakaiba sa pagitan ng data science at artificial intelligence.,Magbigay ng 3 differences ng data science at artificial intelligence.
263,"Imagine you're giving a presentation to a large group of people, create a catchy introduction for your presentation."," Isipin na nagbibigay ka ng isang pagtatanghal sa isang malaking grupo ng mga tao, lumikha ng isang kaakit-akit na panimula para sa iyong presentasyon.","Imagine na magbibigay ka ng presentation sa maraming tao, gumawa ng catchy intro para sa presentation."
264,Identify the noun phrase of the sentence below,Tukuyin ang pariralang pangngalan ng pangungusap sa ibaba,I-identify ang noun phrase sa sentence sa baba.
265,"Select the correct spelling of the word ""necessary""."," Piliin ang tamang spelling ng salitang ""kailangan"".","Piliin ang tamang spelling ng word na ""necessary""."
266,Tell me what you would do if you won a million dollars,Sabihin sa akin kung ano ang gagawin mo kung nanalo ka ng isang milyong dolyar,Sabihin kung ano ang gagawin mo if you win one million dollars.
267,Give me a metaphor to describe an intense conflict.,Bigyan mo ako ng metapora para ilarawan ang isang matinding tunggalian.,Magbigay ng metaphor para i-describe ang intense conflict.
268,Rewrite the following sentence to replace any cliché phrases.,Isulat muli ang sumusunod na pangungusap upang palitan ang anumang mga pariralang cliché.,I-rewrite ang sentence para palitan ang cliche phrases.
269,Find out the most popular sport in Canada.,Alamin ang pinakasikat na isport sa Canada.,Alamin kung ano ang popular sport sa Canada.
270,Write a brief biography of Alexander the Great.,Sumulat ng maikling talambuhay ni Alexander the Great.,Sumulat ng brief biography ni Alexander the Great.
271,Generate a list of three to five questions someone can ask to someone in an interview.,Bumuo ng listahan ng tatlo hanggang limang tanong na maaaring itanong ng isang tao sa isang interbyu.,Gumawa ng 3-5 interview questions that you can ask sa isang tao.
272,Find the hidden message in the string of words,Hanapin ang nakatagong mensahe sa string ng mga salita,Hanapin ang hidden message sa string of words.
273,Automatically fix any punctuation or spellings errors in this sentence.,Awtomatikong ayusin ang anumang mga error sa bantas o spelling sa pangungusap na ito.,I-correct ang punction at spelling errors sa sentence na ito.
274,Write a paragraph describing the basic principles of psychoanalysis.,Sumulat ng isang talata na naglalarawan sa mga pangunahing prinsipyo ng psychoanalysis.,Gumawa ng paragraph na nagde-describe ng basic principles ng psychoanalysis.
275,Describe the GPT-3 language model.,Ilarawan ang modelo ng wika ng GPT-3.,I-describe ang GPT-3 language model.
276,"Given two numbers and an operator (+, - , * , /) evaluate the expression."," Ibinigay ang dalawang numero at isang operator (+, - , * , /) suriin ang expression.","Given two numbers at isang operator (+, -,*,/), i-evaluate ang expression."
277,Read a given article and suggest an actionable next step for the problem discussed.,Basahin ang isang ibinigay na artikulo at magmungkahi ng isang maaaksyunan na susunod na hakbang para sa problemang tinalakay.,Basahin ang article at mag-suggest na actionable next step.
278,Rewrite this sentence using only 6 words.,Isulat muli ang pangungusap na ito gamit lamang ang 6 na salita.,I-rewrite ang sentence na ang gamit lang ay 6 words.
279,Identify and classify the given figure.,Kilalanin at uriin ang ibinigay na pigura.,I-identify at i-classify ang given figure.
280,Describe in 50 words or less the cuisine of your city.,Ilarawan sa 50 salita o mas kaunti ang lutuin ng iyong lungsod.,I-describe in 50 words or less ang cuisine ng citygmo.
281,"Given a scenario, design a game level.","Dahil sa isang senaryo, magdisenyo ng antas ng laro.","Given the scenario, mag-design ng game level."
282,Generate a question that someone might ask at a job interview.,Bumuo ng isang katanungan na maaaring itanong ng isang tao sa isang pakikipanayam sa trabaho.,Gumawa ng question na pwedeng itanong sa job interview.
283,Generate a correct python program to shift all the letters in a given word by two characters ahead.,Bumuo ng isang tamang programa ng python upang ilipat ang lahat ng mga titik sa isang ibinigay na salita sa pamamagitan ng dalawang character sa unahan.,Gumawa ng correct Python program na nagshi-shift ng letters ng word by 2 characters.
284,Read the following sentence and suggest an alternative version that is more descriptive.,Basahin ang sumusunod na pangungusap at magmungkahi ng alternatibong bersyon na mas mapaglarawan.,Basahin ang sentence at mag-suggest ng mas descriptive version.
285,What API method would you use to get the number of messages sent by a user during the last 30 days?,Anong paraan ng API ang iyong gagamitin para makuha ang bilang ng mga mensaheng ipinadala ng isang user sa nakalipas na 30 araw?,Anong API method ang gagamitin para malaman ang number of messages sent by a user in the last 30 days?
286,Find the rhyming words for the given word.,Hanapin ang mga salitang tumutula para sa ibinigay na salita.,Maghanap ng rhyming words para sa given word.
287,Summarize the flow and ideas of the following paragraph.,Ibuod ang daloy at ideya ng sumusunod na talata.,I-summarize anf flow at ideas ng paragraph.
288,Create a painting of a field in summer,Lumikha ng isang pagpipinta ng isang patlang sa tag-araw,Gumawa ng painting concept ng summer field.
289,Generate a thesis statement for a research paper on the history of the US healthcare system.,Bumuo ng thesis statement para sa isang research paper sa kasaysayan ng US healthcare system.,Gumawa ng thesis statement para sa research paper tungkol sa history ng US healthcare system.
290,Create a list of interview questions to evaluate a potential hire for a customer service representative position.,Gumawa ng listahan ng mga tanong sa pakikipanayam upang suriin ang isang potensyal na pag-upa para sa posisyon ng kinatawan ng serbisyo sa customer.,Gumawa ng list ng interview questions para sa customer serivce representative.
291,Describe the structure of a government in an autocracy.,Ilarawan ang istruktura ng isang pamahalaan sa isang autokrasya.,I-describe ang structure ng government sa autocracy.
292,"Classify each of the following statements as true, false, or unknown, based on common knowledge and intuition."," Uriin ang bawat isa sa mga sumusunod na pahayag bilang totoo, mali, o hindi alam, batay sa karaniwang kaalaman at intuwisyon.","I-classify ang statements kung true, false, o unknown base sa common knowledge."
293,Tell me three causes of stress,Sabihin sa akin ang tatlong dahilan ng stress,Magbigay ng three causes ng stress.
294,"Following the input, list two ways companies can use facial recognition technology to enhance customer experience.","Kasunod ng input, maglista ng dalawang paraan na magagamit ng mga kumpanya ang teknolohiya sa pagkilala sa mukha para mapahusay ang karanasan ng customer.","Base sa input, maglista ng two ways kung paano ginagamit ng companies facial recognition para ma-improve ang custmoer experience."
295,How would you describe the difference between price and value?,Paano mo ilalarawan ang pagkakaiba sa pagitan ng presyo at halaga?,I-describe ang difference ng price at value.
296,"In two sentences, explain the three laws of thermodynamics.","Sa dalawang pangungusap, ipaliwanag ang tatlong batas ng thermodynamics.","In two sentences, i-explain ang three laws of thermodynamics."
297,Classify the following sentence as affirmative or negative: “She hasn’t gone to the store yet”," Uriin ang sumusunod na pangungusap bilang sang-ayon o negatibo: ""Hindi pa siya pumupunta sa tindahan""","I-classify ang sentence na ""She hasn't gone to the store yet"" kung affirmative o negative."
298,Provide a detailed explanation of the Euler's formula.,Magbigay ng detalyadong paliwanag ng formula ng Euler.,Magbigay ng detailed explanation ng Euler's formula.
299,Edit the following message so it is suitable for a formal work environment.,I-edit ang sumusunod na mensahe upang ito ay angkop para sa isang pormal na kapaligiran sa trabaho.,I-edit ang message para maging suitable sa formal work environment.
300,Provide an argument for why some people online are more likely to be anonymous than others.,Magbigay ng argumento kung bakit ang ilang tao sa online ay mas malamang na maging anonymous kaysa sa iba.,Magbigay ng argument kung bakit mas may tendency ang ibang tao online na maging anonymous kaysa sa iba.
301,Create an original story about an elephant,Gumawa ng orihinal na kwento tungkol sa isang elepante,Gumawa ng original story about sa isang elepante.
302,Pick the country which is NOT in the EU,Piliin ang bansang WALA sa EU,Piliin ang country na HINDI kasama sa EU.
303,Name one key element for designing an effective chatbot.,Pangalanan ang isang pangunahing elemento para sa pagdidisenyo ng isang epektibong chatbot.,Mag-name ng isang key element sa pag-design ng effective chatbot.
304,Describe a character that lives in a post-apocalyptic world.,Ilarawan ang isang karakter na nabubuhay sa isang post-apocalyptic na mundo.,I-describe ang isang character na nakatira sa post-apocalyptic world.
305,Summarize the passage in six words.,Ibuod ang sipi sa anim na salita.,I-summarize ang passage sa anim na words.
306,Describe how you would use a budget to create financial stability.,Ilarawan kung paano mo gagamitin ang isang badyet upang lumikha ng katatagan sa pananalapi.,I-explain kung paano ginagamit ang budget para magkaroon ng financial stability.
307,Convert the following number into a two digit base 8 (octal) number.,I-convert ang sumusunod na numero sa dalawang digit na base 8 (octal) na numero.,I-convert ang number na ito into a two-digit base 8 (octal) number.
308,Write an algorithm that generates an array of even numbers from 0 to 100,Sumulat ng algorithm na bumubuo ng array ng even na mga numero mula 0 hanggang 100,Gumawa ng algorithm na nagge-generate ng array ng even numbers from 0 to 100.
309,Summarize the main arguments in a given article,Ibuod ang mga pangunahing argumento sa isang ibinigay na artikulo,I-summarize ang main arguments ng article.
310,List 3 features of an effective website design.,Maglista ng 3 tampok ng isang epektibong disenyo ng website.,Maglista ng 3 features ng effective website design.
311,Change the text so that it follows the humorous tone.John and Amy bought a new car.,Baguhin ang teksto upang ito ay sumunod sa nakakatawang tono. Bumili ng bagong kotse sina John at Amy.,Baguhin ang text para maging humorous ang tono: John and Amy bought a new car.
312,Summarize a conversation between two people discussing their last vacation.,Ibuod ang isang pag-uusap sa pagitan ng dalawang tao na tinatalakay ang kanilang huling bakasyon.,I-summarize ang conversation ng dalawang tao tungkol sa last vacation nila.
313,Edit this wordy sentence.,I-edit ang salitang ito na pangungusap.,I-edit ang sentence ng masyadong wordy.
314,"Given the following sentence, write out a math question that is related to it.","Dahil sa sumusunod na pangungusap, sumulat ng tanong sa matematika na nauugnay dito.","Gamit ang sentence na ito, gumawa ng math question na related dito."
315,Explain the significance of using data visualization.,Ipaliwanag ang kahalagahan ng paggamit ng data visualization.,I-eplain kung bakit important ang data visualization.
316,Construct a research study to compare the effects of meditation and exercise on anxiety levels.,Bumuo ng isang pag-aaral sa pananaliksik upang ihambing ang mga epekto ng pagmumuni-muni at ehersisyo sa mga antas ng pagkabalisa.,Gumawa ng research study para i-compare ang effects ng meditation vs exercise sa anxiety levels.
317,What type of clause is the highlighted part of the sentence?,Anong uri ng sugnay ang naka-highlight na bahagi ng pangungusap?,Anong type ng clause ang naka-highlight sa sentence?
318,Explicate the following axiom,Ipaliwanag ang sumusunod na axiom,I-explicate ang axiom na ito.
319,Edit this text so that it sounds more convincing and professional.,I-edit ang tekstong ito upang ito ay maging mas kapani-paniwala at propesyonal.,I-edit ang text para maging mas convincing at professional.
320,Generate two thousand words of dialogue between two characters.,Bumuo ng dalawang libong salita ng diyalogo sa pagitan ng dalawang karakter.,"Gumawa ng 2,000 words na dialogue ng dalawang characters."
321,Rank the following countries by GDP per capita,I-rank ang mga sumusunod na bansa ayon sa GDP per capita,I-rank ang countries base sa GDP per capita.
322,Describe the ingredient list for a guacamole recipe.,Ilarawan ang listahan ng mga sangkap para sa isang recipe ng guacamole.,I-describe ang ingredient list ng guacamole recipe.
323,"Sort the numbers 3, 7, and 9 in descending order","Pagbukud-bukurin ang mga numero 3, 7, at 9 sa pababang pagkakasunod-sunod","I-sort ang numbers 3, 7, at 9 in descending order."
324,Invent a new word by combining two existing words.,Mag-imbento ng bagong salita sa pamamagitan ng pagsasama ng dalawang umiiral na salita.,Mag-imbento ng bagong word na pinagsamang two existing words.
325,Create a summary of the following article: https://www.nytimes.com/2021/04/20/books/the-night-sun.html,Gumawa ng buod ng sumusunod na artikulo: https://www.nytimes.com/2021/04/20/books/the-night-sun.html,Gumawa ng summary ng article sa link na ito: https://www.nytimes.com/2021/04/20/books/the-night-sun.html
326,"You are provided with an article and need to classify it according to its topics. Output the topics one by one, separated by comma."," Binigyan ka ng isang artikulo at kailangan mong uriin ito ayon sa mga paksa nito. I-output ang mga paksa nang paisa-isa, na pinaghihiwalay ng kuwit.","Binigyan ka ng article, i-classify ang article base sa topics-- ilista ang topics separated by commas."
327,What environment variables are necessary to run a Java program?,Anong mga variable ng kapaligiran ang kinakailangan upang magpatakbo ng isang Java program?,Ano ang environment variables na kailangan para mag-run ng Java program?
328,Define 'artificial neural network'.,Tukuyin ang 'artificial neural network'.,"I-define ang ""artificial neural network""."
329,Generate a story that begins with the following sentence:She had never seen anything like it before.,Bumuo ng isang kuwento na nagsisimula sa sumusunod na pangungusap: Hindi pa siya nakakita ng katulad nito dati.,Gumawa ng story na nag-start sa sentence na: She had never seen anything like it before.
